key,value
total_steps,22
susceptiple_persons,455
recovered_persons,29545
vaccinated_persons,0
total_steps,23
susceptiple_persons,506
recovered_persons,29494
vaccinated_persons,0
total_steps,21
susceptiple_persons,462
recovered_persons,29538
vaccinated_persons,0
total_steps,20
susceptiple_persons,493
recovered_persons,29507
vaccinated_persons,0
total_steps,21
susceptiple_persons,465
recovered_persons,29535
vaccinated_persons,0
