key,value
total_steps,31
susceptiple_persons,1398
recovered_persons,19602
vaccinated_persons,9000
total_steps,30
susceptiple_persons,1338
recovered_persons,19662
vaccinated_persons,9000
total_steps,28
susceptiple_persons,1366
recovered_persons,19634
vaccinated_persons,9000
total_steps,30
susceptiple_persons,1401
recovered_persons,19599
vaccinated_persons,9000
total_steps,31
susceptiple_persons,1401
recovered_persons,19599
vaccinated_persons,9000
