key,value
total_steps,89
susceptiple_persons,5627
recovered_persons,3373
vaccinated_persons,21000
total_steps,121
susceptiple_persons,5669
recovered_persons,3331
vaccinated_persons,21000
total_steps,11
susceptiple_persons,8991
recovered_persons,9
vaccinated_persons,21000
total_steps,11
susceptiple_persons,8991
recovered_persons,9
vaccinated_persons,21000
total_steps,11
susceptiple_persons,8991
recovered_persons,9
vaccinated_persons,21000
