key,value
total_steps,38
susceptiple_persons,2750
recovered_persons,12250
vaccinated_persons,15000
total_steps,44
susceptiple_persons,2738
recovered_persons,12262
vaccinated_persons,15000
total_steps,41
susceptiple_persons,2719
recovered_persons,12281
vaccinated_persons,15000
total_steps,40
susceptiple_persons,2657
recovered_persons,12343
vaccinated_persons,15000
total_steps,42
susceptiple_persons,2675
recovered_persons,12325
vaccinated_persons,15000
