key,value
total_steps,4
susceptiple_persons,5999
recovered_persons,1
vaccinated_persons,24000
total_steps,4
susceptiple_persons,5999
recovered_persons,1
vaccinated_persons,24000
total_steps,4
susceptiple_persons,5999
recovered_persons,1
vaccinated_persons,24000
total_steps,4
susceptiple_persons,5999
recovered_persons,1
vaccinated_persons,24000
total_steps,4
susceptiple_persons,5999
recovered_persons,1
vaccinated_persons,24000
