key,value
total_steps,7
susceptiple_persons,2997
recovered_persons,3
vaccinated_persons,27000
total_steps,7
susceptiple_persons,2997
recovered_persons,3
vaccinated_persons,27000
total_steps,7
susceptiple_persons,2997
recovered_persons,3
vaccinated_persons,27000
total_steps,7
susceptiple_persons,2997
recovered_persons,3
vaccinated_persons,27000
total_steps,7
susceptiple_persons,2997
recovered_persons,3
vaccinated_persons,27000
