key,value
total_steps,59
susceptiple_persons,3886
recovered_persons,8114
vaccinated_persons,18000
total_steps,65
susceptiple_persons,4073
recovered_persons,7927
vaccinated_persons,18000
total_steps,70
susceptiple_persons,3877
recovered_persons,8123
vaccinated_persons,18000
total_steps,57
susceptiple_persons,3892
recovered_persons,8108
vaccinated_persons,18000
total_steps,54
susceptiple_persons,3935
recovered_persons,8065
vaccinated_persons,18000
