key,value
total_steps,22
susceptiple_persons,717
recovered_persons,26283
vaccinated_persons,3000
total_steps,25
susceptiple_persons,734
recovered_persons,26266
vaccinated_persons,3000
total_steps,24
susceptiple_persons,708
recovered_persons,26292
vaccinated_persons,3000
total_steps,24
susceptiple_persons,625
recovered_persons,26375
vaccinated_persons,3000
total_steps,24
susceptiple_persons,726
recovered_persons,26274
vaccinated_persons,3000
