key,value
total_steps,23
susceptiple_persons,946
recovered_persons,23054
vaccinated_persons,6000
total_steps,27
susceptiple_persons,948
recovered_persons,23052
vaccinated_persons,6000
total_steps,26
susceptiple_persons,968
recovered_persons,23032
vaccinated_persons,6000
total_steps,25
susceptiple_persons,997
recovered_persons,23003
vaccinated_persons,6000
total_steps,23
susceptiple_persons,938
recovered_persons,23062
vaccinated_persons,6000
