key,value
total_steps,33
susceptiple_persons,1950
recovered_persons,16050
vaccinated_persons,12000
total_steps,36
susceptiple_persons,1866
recovered_persons,16134
vaccinated_persons,12000
total_steps,32
susceptiple_persons,1912
recovered_persons,16088
vaccinated_persons,12000
total_steps,7
susceptiple_persons,17996
recovered_persons,4
vaccinated_persons,12000
total_steps,7
susceptiple_persons,17996
recovered_persons,4
vaccinated_persons,12000
